Region,Activity,Percentage response
Accomack-Northampton,T-ball,2.00%
Accomack-Northampton,Soccer,8.00%
Accomack-Northampton,Rugby,0.00%
Accomack-Northampton,Football,5.00%
Accomack-Northampton,Volleyball,5.00%
Accomack-Northampton,Lacrosse,1.00%
Accomack-Northampton,Field hockey,0.00%
Accomack-Northampton,Kickball,3.00%
Accomack-Northampton,Cheerleading,1.00%
Accomack-Northampton,Track and field,2.00%
Accomack-Northampton,Other activities on sports fields ,5.00%
Central Shenandoah,Driving for pleasure,83.00%
Central Shenandoah,Visiting natural areas,80.00%
Central Shenandoah,Equestrian,5.00%
Central Shenandoah,Downhill skiing ,12.00%
Central Shenandoah,Snowboarding,11.00%
Central Shenandoah,"Cross-country skiing, snowshoeing",3.00%
Central Shenandoah,Snow sledding/tubing,26.00%
Central Shenandoah,Ice skating (outdoor),7.00%
Central Shenandoah,Other snow/ice- dependent activities,4.00%
Central Shenandoah,Freshwater fishing,34.00%
Central Shenandoah,Saltwater fishing,15.00%
Central Shenandoah,Sunbathing/relaxing on a beach,44.00%
Central Shenandoah,Jet ski/personal watercraft,5.00%
Central Shenandoah,Powerboating,12.00%
Central Shenandoah,Sailing,1.00%
Central Shenandoah,Sail boarding,1.00%
Central Shenandoah,Canoeing/kayaking,25.00%
Central Shenandoah,Water-skiing or towed on water,3.00%
Central Shenandoah,Whitewater rafting (guided or solo),1.00%
Central Shenandoah,Tubing on water,9.00%
Central Shenandoah,Swimming/outdoor pool,43.00%
Central Shenandoah,Swimming/beach/lake river (open water),39.00%
Central Shenandoah,Crew rowing,0.00%
Central Shenandoah,Surfing,1.00%
Central Shenandoah,Paddleboarding,1.00%
Central Shenandoah,Kiteboarding,0.00%
Central Shenandoah,Splash pads,2.00%
Central Shenandoah,Viewing the water,34.00%
Central Shenandoah,Other water-dependent activities,3.00%
Central Shenandoah,Tennis,8.00%
Central Shenandoah,Basketball,15.00%
Central Shenandoah,Pickle ball,1.00%
Central Shenandoah,Shuffleboard,0.00%
Central Shenandoah,18-hole golf,10.00%
Central Shenandoah,Par-3 golf,2.00%
Central Shenandoah,Driving range,6.00%
Central Shenandoah,Disc golf,3.00%
Central Shenandoah,Racquetball,2.00%
Central Shenandoah,Squash,0.00%
Central Shenandoah,Miniature golf,9.00%
Central Shenandoah,Archery,7.00%
Central Shenandoah,Shooting range,12.00%
Central Shenandoah,Other activities on courts & golf,2.00%
Central Shenandoah,"Visiting working farms, petting zoos, corn mazes, etc. ",30.00%
Central Shenandoah,Music festivals,29.00%
Central Shenandoah,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",5.00%
Central Shenandoah,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",26.00%
Central Shenandoah,Culinary tours/trails (brewery/winery/food),23.00%
Central Shenandoah,Nature-based tours/trails,33.00%
Central Shenandoah,"Art-based tours/trails (artisan, music)",9.00%
Central Shenandoah,Sporting events or tournaments,13.00%
Central Shenandoah,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",9.00%
Central Shenandoah,Other destination activities,2.00%
Central Shenandoah,Hunting,23.00%
Central Shenandoah,Picnicking away from home,26.00%
Central Shenandoah,Nature study/Nature programs,7.00%
Central Shenandoah,Visiting gardens/arboretums,30.00%
Central Shenandoah,Bird-watching away from home,6.00%
Central Shenandoah,"Visiting parks (local, state & national)",59.00%
Central Shenandoah,Visiting historic areas,41.00%
Central Shenandoah,Geocaching ,7.00%
Central Shenandoah,Viewing scenery,35.00%
Central Shenandoah,Dog parks,6.00%
Central Shenandoah,Zip line,4.00%
Central Shenandoah,RV camping,12.00%
Central Shenandoah,Tent camping,7.00%
Central Shenandoah,Staying in cabins,10.00%
Central Shenandoah,Paddle-in camping,1.00%
Central Shenandoah,Visiting private farms and forests,9.00%
Central Shenandoah,Gardening,37.00%
Central Shenandoah,Visiting playgrounds,25.00%
Central Shenandoah,Bicycle touring on roads,7.00%
Central Shenandoah,Segway on sidewalks and paths,0.00%
Central Shenandoah,Electric-assist bicycle on road or trail,1.00%
Central Shenandoah,Orienteering,1.00%
Central Shenandoah,Stargazing/Dark skies/Astronomy,13.00%
Central Shenandoah,Other activities,1.00%
Central Shenandoah,Walking for pleasure,69.00%
Central Shenandoah,Jogging/running,19.00%
Central Shenandoah,Hiking/backpacking day trips,31.00%
Central Shenandoah,Fitness trail (not jogging),14.00%
Central Shenandoah,Horseback riding,2.00%
Central Shenandoah,Mountain biking,3.00%
Central Shenandoah,Paved or gravel bicycle trails,8.00%
Central Shenandoah,"Driving 4-wheel off road (Jeep, truck)",3.00%
Central Shenandoah,Driving motorcycle off road/dirt bike,2.00%
Central Shenandoah,ATV or UTV off road,5.00%
Central Shenandoah,Other activities on trails,0.00%
Central Shenandoah,Softball,3.00%
Central Shenandoah,Baseball,3.00%
Central Shenandoah,T-ball,5.00%
Central Shenandoah,Soccer,5.00%
Central Shenandoah,Rugby,0.00%
Central Shenandoah,Football,5.00%
Central Shenandoah,Volleyball,3.00%
Central Shenandoah,Lacrosse,0.00%
Central Shenandoah,Field hockey,0.00%
Central Shenandoah,Kickball,2.00%
Central Shenandoah,Cheerleading,1.00%
Central Shenandoah,Track and field,2.00%
Central Shenandoah,Other activities on sports fields ,1.00%
Commonwealth Council,Driving for pleasure,61.00%
Commonwealth Council,Visiting natural areas,56.00%
Commonwealth Council,Equestrian,10.00%
Commonwealth Council,Downhill skiing ,3.00%
Commonwealth Council,Snowboarding,2.00%
Commonwealth Council,"Cross-country skiing, snowshoeing",1.00%
Commonwealth Council,Snow sledding/tubing,10.00%
Commonwealth Council,Ice skating (outdoor),2.00%
Commonwealth Council,Other snow/ice- dependent activities,1.00%
Commonwealth Council,Freshwater fishing,58.00%
Commonwealth Council,Saltwater fishing,16.00%
Commonwealth Council,Sunbathing/relaxing on a beach,32.00%
Commonwealth Council,Jet ski/personal watercraft,7.00%
Commonwealth Council,Powerboating,14.00%
Commonwealth Council,Sailing,2.00%
Commonwealth Council,Sail boarding,1.00%
Commonwealth Council,Canoeing/kayaking,19.00%
Commonwealth Council,Water-skiing or towed on water,7.00%
Commonwealth Council,Whitewater rafting (guided or solo),4.00%
Commonwealth Council,Tubing on water,8.00%
Commonwealth Council,Swimming/outdoor pool,32.00%
Commonwealth Council,Swimming/beach/lake river (open water),26.00%
Commonwealth Council,Crew rowing,1.00%
Commonwealth Council,Surfing,2.00%
Commonwealth Council,Paddleboarding,3.00%
Commonwealth Council,Kiteboarding,1.00%
Commonwealth Council,Splash pads,1.00%
Commonwealth Council,Viewing the water,21.00%
Commonwealth Council,Other water-dependent activities,1.00%
Commonwealth Council,Tennis,8.00%
Commonwealth Council,Basketball,13.00%
Commonwealth Council,Pickle ball,1.00%
Commonwealth Council,Shuffleboard,2.00%
Commonwealth Council,18-hole golf,6.00%
Commonwealth Council,Par-3 golf,2.00%
Commonwealth Council,Driving range,3.00%
Commonwealth Council,Disc golf,4.00%
Commonwealth Council,Racquetball,0.00%
Commonwealth Council,Squash,0.00%
Commonwealth Council,Miniature golf,9.00%
Commonwealth Council,Archery,4.00%
Commonwealth Council,Shooting range,9.00%
Commonwealth Council,Other activities on courts & golf,2.00%
Commonwealth Council,"Visiting working farms, petting zoos, corn mazes, etc. ",21.00%
Commonwealth Council,Music festivals,28.00%
Commonwealth Council,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",5.00%
Commonwealth Council,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",20.00%
Commonwealth Council,Culinary tours/trails (brewery/winery/food),11.00%
Commonwealth Council,Nature-based tours/trails,15.00%
Commonwealth Council,"Art-based tours/trails (artisan, music)",2.00%
Commonwealth Council,Sporting events or tournaments,10.00%
Commonwealth Council,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",11.00%
Commonwealth Council,Other destination activities,1.00%
Commonwealth Council,Hunting,31.00%
Commonwealth Council,Picnicking away from home,28.00%
Commonwealth Council,Nature study/Nature programs,6.00%
Commonwealth Council,Visiting gardens/arboretums,20.00%
Commonwealth Council,Bird-watching away from home,3.00%
Commonwealth Council,"Visiting parks (local, state & national)",43.00%
Commonwealth Council,Visiting historic areas,24.00%
Commonwealth Council,Geocaching ,1.00%
Commonwealth Council,Viewing scenery,12.00%
Commonwealth Council,Dog parks,4.00%
Commonwealth Council,Zip line,3.00%
Commonwealth Council,RV camping,7.00%
Commonwealth Council,Tent camping,7.00%
Commonwealth Council,Staying in cabins,4.00%
Commonwealth Council,Paddle-in camping,1.00%
Commonwealth Council,Visiting private farms and forests,7.00%
Commonwealth Council,Gardening,31.00%
Commonwealth Council,Visiting playgrounds,21.00%
Commonwealth Council,Bicycle touring on roads,13.00%
Commonwealth Council,Segway on sidewalks and paths,7.00%
Commonwealth Council,Electric-assist bicycle on road or trail,1.00%
Commonwealth Council,Orienteering,0.00%
Commonwealth Council,Stargazing/Dark skies/Astronomy,7.00%
Commonwealth Council,Other activities,0.00%
Commonwealth Council,Walking for pleasure,54.00%
Commonwealth Council,Jogging/running,10.00%
Commonwealth Council,Hiking/backpacking day trips,6.00%
Commonwealth Council,Fitness trail (not jogging),11.00%
Commonwealth Council,Horseback riding,5.00%
Commonwealth Council,Mountain biking,2.00%
Commonwealth Council,Paved or gravel bicycle trails,9.00%
Commonwealth Council,"Driving 4-wheel off road (Jeep, truck)",6.00%
Commonwealth Council,Driving motorcycle off road/dirt bike,2.00%
Commonwealth Council,ATV or UTV off road,5.00%
Commonwealth Council,Other activities on trails,0.00%
Commonwealth Council,Softball,6.00%
Commonwealth Council,Baseball,7.00%
Commonwealth Council,T-ball,3.00%
Commonwealth Council,Soccer,3.00%
Commonwealth Council,Rugby,0.00%
Commonwealth Council,Football,5.00%
Commonwealth Council,Volleyball,3.00%
Commonwealth Council,Lacrosse,0.00%
Commonwealth Council,Field hockey,0.00%
Commonwealth Council,Kickball,2.00%
Commonwealth Council,Cheerleading,1.00%
Commonwealth Council,Track and field,2.00%
Commonwealth Council,Other activities on sports fields ,1.00%
Crater,Driving for pleasure,60.00%
Crater,Visiting natural areas,60.00%
Crater,Equestrian,0.00%
Crater,Downhill skiing ,10.00%
Crater,Snowboarding,8.00%
Crater,"Cross-country skiing, snowshoeing",1.00%
Crater,Snow sledding/tubing,10.00%
Crater,Ice skating (outdoor),4.00%
Crater,Other snow/ice- dependent activities,10.00%
Crater,Freshwater fishing,46.00%
Crater,Saltwater fishing,20.00%
Crater,Sunbathing/relaxing on a beach,35.00%
Crater,Jet ski/personal watercraft,8.00%
Crater,Powerboating,10.00%
Crater,Sailing,1.00%
Crater,Sail boarding,0.00%
Crater,Canoeing/kayaking,12.00%
Crater,Water skiing or towed on water,2.00%
Crater,Whitewater rafting (guided or solo),3.00%
Crater,Tubing on water,5.00%
Crater,Swimming/outdoor pool,39.00%
Crater,Swimming/beach/lake river (open water),25.00%
Crater,Crew rowing,0.00%
Crater,Surfing,1.00%
Crater,Paddleboarding,0.00%
Crater,Kiteboarding,0.00%
Crater,Splash pads,1.00%
Crater,Viewing the water,28.00%
Crater,Other water-dependent activities,1.00%
Crater,Tennis,4.00%
Crater,Basketball,11.00%
Crater,Pickle ball,2.00%
Crater,Shuffleboard,0.00%
Crater,18-hole golf,21.00%
Crater,Par-3 golf,1.00%
Crater,Driving range,8.00%
Crater,Disc golf,2.00%
Crater,Racquetball,0.00%
Crater,Squash,0.00%
Crater,Miniature golf,8.00%
Crater,Archery,4.00%
Crater,Shooting range,15.00%
Crater,Other activities on courts & golf,0.00%
Crater,"Visiting working farms, petting zoos, corn mazes, etc. ",25.00%
Crater,Music festivals,23.00%
Crater,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",2.00%
Crater,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",23.00%
Crater,Culinary tours/trails (brewery/winery/food),8.00%
Crater,Nature-based tours/trails,18.00%
Crater,"Art-based tours/trails (artisan, music)",4.00%
Crater,Sporting events or tournaments,25.00%
Crater,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",11.00%
Crater,Other destination activities,2.00%
Crater,Hunting,23.00%
Crater,Picnicking away from home,15.00%
Crater,Nature study/Nature programs,5.00%
Crater,Visiting gardens/arboretums,17.00%
Crater,Bird-watching away from home,3.00%
Crater,"Visiting parks (local, state & national)",41.00%
Crater,Visiting historic areas,30.00%
Crater,Geocaching ,1.00%
Crater,Viewing scenery,18.00%
Crater,Dog parks,3.00%
Crater,Zip line,0.00%
Crater,RV camping,4.00%
Crater,Tent camping,7.00%
Crater,Staying in cabins,4.00%
Crater,Paddle-in camping,0.00%
Crater,Visiting private farms and forests,14.00%
Crater,Gardening,28.00%
Crater,Visiting playgrounds,14.00%
Crater,Bicycle touring on roads,4.00%
Crater,Segway on sidewalks and paths,0.00%
Crater,Electric-assist bicycle on road or trail,0.00%
Crater,Orienteering,2.00%
Crater,Stargazing/Dark skies/Astronomy,8.00%
Crater,Other activities,3.00%
Crater,Walking for pleasure,57.00%
Crater,Jogging/running,10.00%
Crater,Hiking/backpacking day trips,10.00%
Crater,Fitness trail (not jogging),4.00%
Crater,Horseback riding,0.00%
Crater,Mountain biking,0.00%
Crater,Paved or gravel bicycle trails,4.00%
Crater,"Driving 4-wheel off road (Jeep, truck)",9.00%
Crater,Driving motorcycle off road/dirt bike,2.00%
Crater,ATV or UTV off road,6.00%
Crater,Other activities on trails,2.00%
Crater,Softball,7.00%
Crater,Baseball,6.00%
Crater,T-ball,2.00%
Crater,Soccer,7.00%
Crater,Rugby,0.00%
Crater,Football,12.00%
Crater,Volleyball,8.00%
Crater,Lacrosse,0.00%
Crater,Field hockey,0.00%
Crater,Kickball,9.00%
Crater,Cheerleading,2.00%
Crater,Track and field,4.00%
Crater,Other activities on sports fields ,0.00%
Cumberland Plateau,Driving for pleasure,79.00%
Cumberland Plateau,Visiting natural areas,74.00%
Cumberland Plateau,Equestrian,7.00%
Cumberland Plateau,Downhill skiing ,1.00%
Cumberland Plateau,Snowboarding,3.00%
Cumberland Plateau,"Cross-country skiing, snowshoeing",1.00%
Cumberland Plateau,Snow sledding/tubing,25.00%
Cumberland Plateau,Ice skating (outdoor),3.00%
Cumberland Plateau,Other snow/ice- dependent activities,1.00%
Cumberland Plateau,Freshwater fishing,58.00%
Cumberland Plateau,Saltwater fishing,17.00%
Cumberland Plateau,Sunbathing/relaxing on a beach,37.00%
Cumberland Plateau,Jet ski/personal watercraft,17.00%
Cumberland Plateau,Powerboating,17.00%
Cumberland Plateau,Sailing,1.00%
Cumberland Plateau,Sail boarding,1.00%
Cumberland Plateau,Canoeing/kayaking,14.00%
Cumberland Plateau,Water skiing or towed on water,2.00%
Cumberland Plateau,Whitewater rafting (guided or solo),4.00%
Cumberland Plateau,Tubing on water,7.00%
Cumberland Plateau,Swimming/outdoor pool,47.00%
Cumberland Plateau,Swimming/beach/lake river (open water),26.00%
Cumberland Plateau,Crew rowing,0.00%
Cumberland Plateau,Surfing,1.00%
Cumberland Plateau,Paddleboarding,2.00%
Cumberland Plateau,Kiteboarding,1.00%
Cumberland Plateau,Splash pads,5.00%
Cumberland Plateau,Viewing the water,28.00%
Cumberland Plateau,Other water-dependent activities,3.00%
Cumberland Plateau,Tennis,14.00%
Cumberland Plateau,Basketball,24.00%
Cumberland Plateau,Pickle ball,1.00%
Cumberland Plateau,Shuffleboard,2.00%
Cumberland Plateau,18-hole golf,6.00%
Cumberland Plateau,Par-3 golf,0.00%
Cumberland Plateau,Driving range,4.00%
Cumberland Plateau,Disc golf,1.00%
Cumberland Plateau,Racquetball,1.00%
Cumberland Plateau,Squash,0.00%
Cumberland Plateau,Miniature golf,12.00%
Cumberland Plateau,Archery,17.00%
Cumberland Plateau,Shooting range,23.00%
Cumberland Plateau,Other activities on courts & golf,1.00%
Cumberland Plateau,"Visiting working farms, petting zoos, corn mazes, etc. ",38.00%
Cumberland Plateau,Music festivals,21.00%
Cumberland Plateau,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",5.00%
Cumberland Plateau,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",27.00%
Cumberland Plateau,Culinary tours/trails (brewery/winery/food),7.00%
Cumberland Plateau,Nature-based tours/trails,19.00%
Cumberland Plateau,"Art-based tours/trails (artisan, music)",4.00%
Cumberland Plateau,Sporting events or tournaments,31.00%
Cumberland Plateau,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",7.00%
Cumberland Plateau,Other destination activities,0.00%
Cumberland Plateau,Hunting,39.00%
Cumberland Plateau,Picnicking away from home,35.00%
Cumberland Plateau,Nature study/Nature programs,3.00%
Cumberland Plateau,Visiting gardens/arboretums,3.00%
Cumberland Plateau,Bird-watching away from home,2.00%
Cumberland Plateau,"Visiting parks (local, state & national)",56.00%
Cumberland Plateau,Visiting historic areas,18.00%
Cumberland Plateau,Geocaching ,1.00%
Cumberland Plateau,Viewing scenery,23.00%
Cumberland Plateau,Dog parks,2.00%
Cumberland Plateau,Zip line,2.00%
Cumberland Plateau,RV camping,11.00%
Cumberland Plateau,Tent camping,10.00%
Cumberland Plateau,Staying in cabins,12.00%
Cumberland Plateau,Paddle-in camping,0.00%
Cumberland Plateau,Visiting private farms and forests,5.00%
Cumberland Plateau,Gardening,23.00%
Cumberland Plateau,Visiting playgrounds,17.00%
Cumberland Plateau,Bicycle touring on roads,1.00%
Cumberland Plateau,Segway on sidewalks and paths,0.00%
Cumberland Plateau,Electric-assist bicycle on road or trail,0.00%
Cumberland Plateau,Orienteering,0.00%
Cumberland Plateau,Stargazing/Dark skies/Astronomy,6.00%
Cumberland Plateau,Other activities,12.00%
Cumberland Plateau,Walking for pleasure,61.00%
Cumberland Plateau,Jogging/running,9.00%
Cumberland Plateau,Hiking/backpacking day trips,13.00%
Cumberland Plateau,Fitness trail (not jogging),3.00%
Cumberland Plateau,Horseback riding,5.00%
Cumberland Plateau,Mountain biking,1.00%
Cumberland Plateau,Paved or gravel bicycle trails,4.00%
Cumberland Plateau,"Driving 4-wheel off road (Jeep, truck)",13.00%
Cumberland Plateau,Driving motorcycle off road/dirt bike,2.00%
Cumberland Plateau,ATV or UTV off road,13.00%
Cumberland Plateau,Other activities on trails,3.00%
Cumberland Plateau,Softball,5.00%
Cumberland Plateau,Baseball,25.00%
Cumberland Plateau,T-ball,0.00%
Cumberland Plateau,Soccer,2.00%
Cumberland Plateau,Rugby,1.00%
Cumberland Plateau,Football,19.00%
Cumberland Plateau,Volleyball,6.00%
Cumberland Plateau,Lacrosse,1.00%
Cumberland Plateau,Field hockey,0.00%
Cumberland Plateau,Kickball,1.00%
Cumberland Plateau,Cheerleading,3.00%
Cumberland Plateau,Track and field,4.00%
Cumberland Plateau,Other activities on sports fields ,1.00%
George Washington,Driving for pleasure,69.00%
George Washington,Visiting natural areas,73.00%
George Washington,Equestrian,7.00%
George Washington,Downhill skiing ,9.00%
George Washington,Snowboarding,5.00%
George Washington,"Cross-country skiing, snowshoeing",2.00%
George Washington,Snow sledding/tubing,14.00%
George Washington,Ice skating (outdoor),5.00%
George Washington,Other snow/ice-dependent activities,3.00%
George Washington,Freshwater fishing,36.00%
George Washington,Saltwater fishing,14.00%
George Washington,Sunbathing/relaxing on a beach,56.00%
George Washington,Jet ski/personal watercraft,9.00%
George Washington,Powerboating,15.00%
George Washington,Sailing,3.00%
George Washington,Sail boarding,0.00%
George Washington,Canoeing/kayaking,23.00%
George Washington,Water skiing or towed on water,5.00%
George Washington,Whitewater rafting (guided or solo),1.00%
George Washington,Tubing on water,13.00%
George Washington,Swimming/outdoor pool,44.00%
George Washington,Swimming/beach/lake river (open water),41.00%
George Washington,Crew rowing,0.00%
George Washington,Surfing,0.00%
George Washington,Paddleboarding,8.00%
George Washington,Kiteboarding,0.00%
George Washington,Splash pads,4.00%
George Washington,Viewing the water,38.00%
George Washington,Other water-dependent activities,0.00%
George Washington,Tennis,7.00%
George Washington,Basketball,17.00%
George Washington,Pickle ball,1.00%
George Washington,Shuffleboard,0.00%
George Washington,18-hole golf,12.00%
George Washington,Par-3 golf,3.00%
George Washington,Driving range,9.00%
George Washington,Disc golf,7.00%
George Washington,Racquetball,0.00%
George Washington,Squash,0.00%
George Washington,Miniature golf,14.00%
George Washington,Archery,5.00%
George Washington,Shooting range,15.00%
George Washington,Other activities on courts & golf,2.00%
George Washington,"Visiting working farms, petting zoos, corn mazes, etc. ",42.00%
George Washington,Music festivals,28.00%
George Washington,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",4.00%
George Washington,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",36.00%
George Washington,Culinary tours/trails (brewery/winery/food),22.00%
George Washington,Nature-based tours/trails,27.00%
George Washington,"Art-based tours/trails (artisan, music)",4.00%
George Washington,Sporting events or tournaments,33.00%
George Washington,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",21.00%
George Washington,Other destination activities,1.00%
George Washington,Hunting,11.00%
George Washington,Picnicking away from home,31.00%
George Washington,Nature study/Nature programs,6.00%
George Washington,Visiting gardens/arboretums,17.00%
George Washington,Bird-watching away from home,6.00%
George Washington,"Visiting parks (local, state & national)",57.00%
George Washington,Visiting historic areas,45.00%
George Washington,Geocaching ,2.00%
George Washington,Viewing scenery,25.00%
George Washington,Dog parks,12.00%
George Washington,Zip line,2.00%
George Washington,RV camping,5.00%
George Washington,Tent camping,18.00%
George Washington,Staying in cabins,13.00%
George Washington,Paddle-in camping,1.00%
George Washington,Visiting private farms and forests,15.00%
George Washington,Gardening,24.00%
George Washington,Visiting playgrounds,26.00%
George Washington,Bicycle touring on roads,11.00%
George Washington,Segway on sidewalks and paths,2.00%
George Washington,Electric-assist bicycle on road or trail,0.00%
George Washington,Orienteering,1.00%
George Washington,Stargazing/Dark skies/Astronomy,13.00%
George Washington,Other activities,3.00%
George Washington,Walking for pleasure,66.00%
George Washington,Jogging/running,27.00%
George Washington,Hiking/backpacking day trips,23.00%
George Washington,Fitness trail (not jogging),10.00%
George Washington,Horseback riding,4.00%
George Washington,Mountain biking,7.00%
George Washington,Paved or gravel bicycle trails,7.00%
George Washington,"Driving 4-wheel off road (Jeep, truck)",7.00%
George Washington,Driving motorcycle off road/dirt bike,3.00%
George Washington,ATV or UTV off road,8.00%
George Washington,Other activities on trails,0.00%
George Washington,Softball,6.00%
George Washington,Baseball,9.00%
George Washington,T-ball,4.00%
George Washington,Soccer,11.00%
George Washington,Rugby,1.00%
George Washington,Football,6.00%
George Washington,Volleyball,2.00%
George Washington,Lacrosse,2.00%
George Washington,Field hockey,1.00%
George Washington,Kickball,0.00%
George Washington,Cheerleading,1.00%
George Washington,Track and field,3.00%
George Washington,Other activities on sports fields ,4.00%
Hampton Roads,Driving for pleasure,63.00%
Hampton Roads,Visiting natural areas,65.00%
Hampton Roads,Equestrian,6.00%
Hampton Roads,Downhill skiing ,8.00%
Hampton Roads,Snowboarding,4.00%
Hampton Roads,"Cross-country skiing, snowshoeing",1.00%
Hampton Roads,Snow sledding/tubing,8.00%
