Planning District,Outdoor Recreation Opportunity,Percentage response
Northern Neck,Historic areas,33.00%
Northern Neck,Natural areas,47.00%
Northern Neck,Parks,48.00%
Northern Neck,"Playing fields, sports and golf facilities",27.00%
Northern Neck,Scenic drives for driving pleasure,25.00%
Northern Neck,Trails,40.00%
Northern Neck,Water access,47.00%
Northern Shenandoah Valley,Historic areas,31.00%
Northern Shenandoah Valley,Natural areas,61.00%
Northern Shenandoah Valley,Parks,43.00%
Northern Shenandoah Valley,"Playing fields, sports and golf facilities",13.00%
Northern Shenandoah Valley,Scenic drives for driving pleasure,29.00%
Northern Shenandoah Valley,Trails,47.00%
Northern Shenandoah Valley,Water access,34.00%
Northern Virginia,Historic areas,34.00%
Northern Virginia,Natural areas,53.00%
Northern Virginia,Parks,51.00%
Northern Virginia,"Playing fields, sports and golf facilities",28.00%
Northern Virginia,Scenic drives for driving pleasure,19.00%
Northern Virginia,Trails,46.00%
Northern Virginia,Water access,39.00%
Rappahannock-Rapidan,Historic areas,40.00%
Rappahannock-Rapidan,Natural areas,50.00%
Rappahannock-Rapidan,Parks,44.00%
Rappahannock-Rapidan,"Playing fields, sports and golf facilities",21.00%
Rappahannock-Rapidan,Scenic drives for driving pleasure,23.00%
Rappahannock-Rapidan,Trails,43.00%
Rappahannock-Rapidan,Water access,43.00%
Region 2000,Historic areas,49.00%
Region 2000,Natural areas,59.00%
Region 2000,Parks,50.00%
Region 2000,"Playing fields, sports and golf facilities",19.00%
Region 2000,Scenic drives for driving pleasure,32.00%
Region 2000,Trails,41.00%
Region 2000,Water access,43.00%
Richmond,Historic areas,42.00%
Richmond,Natural areas,55.00%
Richmond,Parks,52.00%
Richmond,"Playing fields, sports and golf facilities",25.00%
Richmond,Scenic drives for driving pleasure,28.00%
Richmond,Trails,42.00%
Richmond,Water access,40.00%
Roanoke Valley-Alleghany,Historic areas,37.00%
Roanoke Valley-Alleghany,Natural areas,58.00%
Roanoke Valley-Alleghany,Parks,40.00%
Roanoke Valley-Alleghany,"Playing fields, sports and golf facilities",17.00%
Roanoke Valley-Alleghany,Scenic drives for driving pleasure,31.00%
Roanoke Valley-Alleghany,Trails,49.00%
Roanoke Valley-Alleghany,Water access,45.00%
Southside,Historic areas,46.00%
Southside,Natural areas,55.00%
Southside,Parks,58.00%
Southside,"Playing fields, sports and golf facilities",26.00%
Southside,Scenic drives for driving pleasure,29.00%
Southside,Trails,37.00%
Southside,Water access,38.00%
Statewide,Historic areas,39.00%
Statewide,Natural areas,54.00%
Statewide,Parks,49.00%
Statewide,"Playing fields, sports and golf facilities",22.00%
Statewide,Scenic drives for driving pleasure,29.00%
Statewide,Trails,43.00%
Statewide,Water access,43.00%
Thomas Jefferson,Historic areas,30.00%
Thomas Jefferson,Natural areas,64.00%
Thomas Jefferson,Parks,50.00%
Thomas Jefferson,"Playing fields, sports and golf facilities",17.00%
Thomas Jefferson,Scenic drives for driving pleasure,22.00%
Thomas Jefferson,Trails,45.00%
Thomas Jefferson,Water access,45.00%
West Piedmont,Historic areas,43.00%
West Piedmont,Natural areas,46.00%
West Piedmont,Parks,46.00%
West Piedmont,"Playing fields, sports and golf facilities",21.00%
West Piedmont,Scenic drives for driving pleasure,34.00%
West Piedmont,Trails,31.00%
West Piedmont,Water access,45.00%
